year;price
1976;12.8
1977;13.9
1978;14
1979;31.6
1980;36.8
1981;35.9
1982;33
1983;29.6
1984¹;28.7
1985;27.5
1986;14.4
1987;18.4
1988;15
1989;18.2
1990;23.8
1991;20.1
1992;19.4
1993;17.1
1994;16
1995;17.2
1996;20.8
1997;19.1
1998;12.8
1999;17.9
2000;28.4
2001;24.45
2002;25.01
2003;28.83
2004;38.1
2005;54.38
2006;65.14
2007;72.52
2008;96.99
2009;61.51
2010;79.47
2011;111.26
2012;111.63
2013;108.56
2014;98.97
2015;52.32
2016;43.67
2017;54.25
2018;71.34
2019;64.3
2020;41.96
2021;70.68
2022;101.37
