year,country_name,gdp_growth,gdp_usd,military_spendings_growth,military_spendings_usd,energy_use,gni_growth,gni_usd,national_income_growth,national_income_usd
1981,Italy,0.84,430702851303.02,1.82,7387713297.79,2265.93,0.21,430141599386.82,-1.53,3.66313E+11
1981,Japan,4.21,1218988935129.81,0.92,10851176225.20,2864.05,4.06,1218199494141.09,3.38,1.0034E+12
1981,Canada,,306214863624.99,1.71,5141128191.44,7555.24,,296987238301.78,4.82,2.46128E+11
1981,Russian Federation,,,,,,,,,
1981,United States,2.54,3207041000000.00,5.65,176558875270.82,7647.54,2.37,3201886000000.00,4.13,2.6271E+12
1981,United Kingdom,-0.79,540765675241.16,4.98,26948261220.56,3415.38,-0.74,571291227893.89,-1.18,4.71539E+11
1981,Brazil,-4.25,258015174748.65,1.14,2517859757.17,883.88,-5.10,252659071917.96,-4.21,2.2754E+11
1981,India,6.01,193490610032.10,3.19,5879007035.84,293.74,5.79,193535405875.05,3.06,1.73467E+11
1981,Mexico,8.53,263959336734.69,0.51,1284948561.27,1463.21,7.62,253844553061.22,10.59,2.21409E+11
1981,South Africa,5.36,85454420500.03,3.64,3011979548.28,2451.92,5.41,81875255314.07,0.55,64162944999
1981,China,5.11,195866382432.54,,,597.15,,195783049099.21,,1.52562E+11
1981,World,1.93,11712447147704.30,3.80,404072708888.07,1414.45,,11652818987732.70,1.96,9.4208E+12
1982,Germany,-0.39,776576439106.96,3.03,21037571076.43,4257.86,-0.48,777697777061.34,-0.43,6.47532E+11
1982,France,2.51,584877732308.61,3.22,18918492343.80,3280.26,2.12,586300029943.11,1.85,4.92821E+11
1982,Italy,0.41,427272645669.29,2.01,8062597403.34,2206.54,0.32,426272648532.57,1.21,3.62306E+11
1982,Japan,3.31,1134518001884.56,0.93,10193936011.76,2839.87,3.54,1136197805736.14,3.12,9.35745E+11
1982,Canada,,313506525087.14,1.95,6017321456.07,7173.56,,303780497689.88,-2.17,2.51642E+11
1982,Russian Federation,,,,,,,,,
1982,United States,-1.80,3343789000000.00,6.81,221673542584.02,7259.08,-1.73,3371448000000.00,1.42,2.79536E+12
1982,United Kingdom,1.99,515048916841.37,5.38,27714188335.47,3397.12,1.90,542822372466.81,1.98,4.51192E+11
1982,Brazil,0.83,271314113768.42,1.30,3031328924.10,877.86,-0.21,267229261490.03,0.06,2.40226E+11
1982,India,3.48,200715145360.92,3.35,6302107956.21,298.08,3.13,200056669825.26,1.45,1.78297E+11
1982,Mexico,-0.52,184609157801.42,0.50,858130162.74,1495.76,-3.77,172347898936.17,-5.68,1.46889E+11
1982,South Africa,-0.38,78423059789.88,3.61,2744699858.17,2594.19,-0.27,75295457579.20,0.37,58245140316
1982,China,9.02,205089699858.78,,,606.83,,205361295278.63,,1.64142E+11
1982,World,0.42,11595933309689.10,4.33,,1383.90,0.27,11552622012317.00,0.89,9.40317E+12
1983,Germany,1.57,770684323247.80,3.03,20828212902.37,4268.05,1.81,774212274990.43,2.35,6.4513E+11
1983,France,1.24,559869179791.72,3.24,18188520274.96,3347.53,0.59,557554867028.14,1.13,4.68201E+11
1983,Italy,1.17,443042373788.88,2.02,8409527115.58,2203.86,1.26,442612624936.26,1.93,3.76623E+11
1983,Japan,3.52,1243323592058.83,0.95,11429317255.55,2822.74,3.62,1246296498235.67,2.74,1.02279E+12
1983,Canada,,340547711781.89,2.08,6947104071.66,7076.52,,331848425835.77,2.72,2.74851E+11
1983,Russian Federation,,,,,,,,,
1983,United States,4.58,3634038000000.00,6.32,223427165005.73,7199.12,4.51,3614168000000.00,2.89,2.98209E+12
1983,United Kingdom,4.22,489618008185.54,5.40,26423122398.89,3377.90,4.54,518163601637.11,4.03,4.3033E+11
1983,Brazil,-2.93,189656506321.43,1.25,2082669250.92,879.25,-3.89,191446471082.96,-0.70,1.71606E+11
1983,India,7.29,218262273410.10,3.32,6830768697.58,300.70,7.19,217346843963.14,8.51,1.94477E+11
1983,Mexico,-3.49,156159198584.51,0.52,778556797.18,1376.33,-2.35,147035900499.58,-11.29,1.17867E+11
1983,South Africa,-1.85,87415851375.53,3.60,3052688268.56,2569.61,-1.83,84058881623.56,2.05,65351463840
1983,China,10.77,230686747153.26,,,621.91,,231563322095.79,,1.90317E+11
1983,World,2.62,11823742466334.90,4.18,,1374.39,2.87,11767472748802.90,3.88,9.53412E+12
1984,Germany,2.82,725111123634.12,2.93,18943609976.00,4447.32,3.18,731281976496.46,2.86,6.09612E+11
1984,France,1.51,530683779929.45,3.19,16977866454.84,3448.50,1.29,527303159948.96,0.97,4.42804E+11
1984,Italy,3.23,437887689001.54,2.01,8296144788.10,2253.72,3.22,437383047167.73,3.07,3.72658E+11
1984,Japan,4.50,1318381627003.76,0.96,12225078098.03,3016.18,4.58,1322544601037.80,4.77,1.07917E+12
1984,Canada,,355372558103.62,2.12,7349795763.94,7368.74,,345679098139.14,5.30,2.86927E+11
1984,Russian Federation,,,,,,,,,
1984,United States,7.24,4037613000000.00,6.24,245149168288.54,7443.32,7.10,4032292000000.00,8.15,3.36707E+12
1984,United Kingdom,2.27,461487097632.35,5.51,25418839536.39,3370.52,2.38,488885270018.62,2.10,4.05689E+11
1984,Brazil,5.40,188339974086.58,1.20,2013151757.88,915.08,5.39,197144720543.59,8.93,1.76083E+11
1984,India,3.82,212158234164.06,3.42,6956682449.44,306.07,3.68,210960266670.71,2.86,1.8841E+11
1984,Mexico,3.41,184261495828.37,0.66,1155945372.64,1406.28,3.94,174185041716.33,4.89,1.42852E+11
1984,South Africa,5.10,77344092906.73,3.70,2770152106.72,2713.66,5.09,74350757753.92,8.66,60077832574
1984,China,15.19,259946510957.14,,,651.07,,261221374528.57,,2.18963E+11
1984,World,4.68,12255569438482.10,4.18,459878641636.82,1405.80,4.51,12234466388345.00,6.16,9.93063E+12
1985,Germany,2.33,732534887058.20,2.87,18752463333.13,4598.14,2.34,738823376959.87,2.53,6.16693E+11
1985,France,1.62,553138414367.06,3.14,17455151457.83,3597.64,2.13,552408380785.52,2.40,4.64566E+11
1985,Italy,2.80,452217492140.76,1.94,8253390532.61,2284.81,2.68,451126286380.69,2.63,3.83623E+11
1985,Japan,5.23,1398892744820.69,0.96,13087751953.58,3003.17,5.42,1405671182271.17,6.41,1.15523E+12
1985,Canada,,364756499450.75,2.10,7460563318.39,7468.10,,354994507506.41,4.92,2.95702E+11
1985,Russian Federation,,,,,,,,,
1985,United States,4.17,4338979000000.00,6.45,272163229313.06,7456.26,3.85,4310074000000.00,4.14,3.60471E+12
1985,United Kingdom,4.15,489285164271.05,5.32,26031881546.00,3550.78,3.86,512183054414.78,2.66,4.24176E+11
1985,Brazil,7.85,210879841322.31,1.43,2687049984.35,956.23,8.52,211063860366.74,3.78,1.86504E+11
1985,India,5.25,232511877842.04,3.57,7567024020.31,314.90,5.32,231344146134.33,4.23,2.04859E+11
1985,Mexico,2.19,195219789801.48,0.68,1241863651.94,1429.45,3.17,186223239782.02,4.69,1.54746E+11
1985,South Africa,-1.21,59082638803.53,3.70,2117406345.49,2643.91,-1.67,56512053140.95,-6.14,43353776753
1985,China,13.43,309488028132.65,,,657.76,,310328084153.06,,2.6396E+11
1985,World,3.71,12889898391561.50,4.23,486712710861.12,1415.90,3.56,12845569982414.30,5.03,1.04332E+13
1986,Germany,2.29,1046259374943.71,2.79,26065367271.43,4589.15,2.15,1052667199855.89,5.45,8.80868E+11
1986,France,2.34,771470783218.11,3.09,23901440137.08,3632.92,2.91,774780755753.39,5.28,6.53635E+11
1986,Italy,2.86,640386352773.09,1.98,11941809156.31,2311.55,2.58,637091754773.35,5.59,5.4382E+11
1986,Japan,3.33,2078953333673.55,0.96,19457334441.02,3020.81,3.30,2088415129854.18,4.25,1.7056E+12
1986,Canada,,377437927311.98,2.11,7780136739.83,7521.89,,366251889168.77,2.86,3.08403E+11
1986,Russian Federation,,,,,,,,,
1986,United States,3.46,4579631000000.00,6.63,295546223803.60,7376.10,3.24,4516535000000.00,3.39,3.80044E+12
1986,United Kingdom,3.15,601452653180.89,5.06,30432577939.64,3597.94,3.43,632310233069.48,5.35,5.32731E+11
1986,Brazil,7.49,256480855343.62,1.22,2758186568.48,980.42,8.60,256173867061.64,8.55,2.28121E+11
1986,India,4.78,248985994044.20,4.11,9539363085.61,318.87,4.72,247574348949.76,4.31,2.20862E+11
1986,Mexico,-3.08,134550096436.74,0.63,817296611.65,1361.72,-3.82,127030515364.50,-10.48,1.04158E+11
1986,South Africa,0.02,67521602553.14,3.82,2497888430.35,2686.26,0.08,64575910334.09,-1.83,49508393545
1986,China,8.95,300758100107.25,,,671.21,,300735081440.58,,2.61723E+11
1986,World,3.45,15241194224711.60,3.92,531748822486.73,1417.91,3.17,15155272920354.30,3.69,1.2392E+13
1987,Germany,1.40,1298176105549.51,2.77,32131496921.42,4616.40,1.32,1304233981501.63,2.10,1.08982E+12
1987,France,2.56,934173305685.91,3.12,29280470206.47,3702.24,2.93,941591181927.32,2.87,7.93964E+11
1987,Italy,3.19,805713128174.49,2.06,15653065895.39,2407.26,3.37,803229982073.50,4.07,6.86997E+11
1987,Japan,4.73,2532808573157.03,0.97,23642290700.17,3044.66,4.95,2549578774522.51,3.84,2.07376E+12
1987,Canada,,431316742081.45,2.06,8694447167.78,7671.20,,419782051282.05,3.20,3.4807E+11
1987,Russian Federation,,,,,,,,,
1987,United States,3.46,4855215000000.00,6.42,304086648682.91,7622.17,3.45,4828878000000.00,3.73,4.05533E+12
1987,United Kingdom,5.39,745162608269.33,4.69,34921759890.19,3619.08,5.27,776775062918.78,4.22,6.52809E+11
1987,Brazil,3.53,283056833878.21,1.74,4323674770.12,998.40,4.32,282955492984.36,1.99,2.53382E+11
1987,India,3.97,279033584092.16,4.23,10877406164.41,323.88,3.80,277014075282.35,4.70,2.46338E+11
1987,Mexico,1.72,147540738281.82,0.58,813391574.40,1403.21,2.66,140739534247.57,5.48,1.1543E+11
1987,South Africa,2.10,88573697223.17,4.19,3595968625.22,2718.50,2.82,85456852377.75,7.24,66928549382
1987,China,11.66,272972974764.57,,,694.42,,272793546177.13,,2.35761E+11
1987,World,3.74,17347632790771.60,3.79,600269882729.17,1444.24,3.69,17286674510267.20,2.69,1.4074E+13
1988,Germany,3.71,1401233225303.49,2.64,33036667268.81,4629.18,4.21,1414781709544.49,4.48,1.18678E+12
1988,France,4.74,1018847043277.17,2.96,30327270741.09,3665.57,4.61,1025574275960.80,5.23,8.66607E+11
1988,Italy,4.19,891608957155.61,2.07,17403664789.84,2462.80,4.24,889209764950.91,4.15,7.61868E+11
1988,Japan,6.79,3071683013178.91,0.95,28216102752.98,3243.60,6.83,3093131811751.23,7.28,2.51177E+12
1988,Canada,,507354351182.25,1.99,9897335684.28,7885.24,,492889412529.46,4.87,4.07969E+11
1988,Russian Federation,,554713455149.50,,,,,556478405315.62,,
1988,United States,4.18,5236438000000.00,6.07,309661269300.95,7849.75,4.25,5256093000000.00,5.97,4.44574E+12
1988,United Kingdom,5.73,910122732123.80,4.21,38357236513.96,3643.01,5.80,945959791889.01,5.59,7.98103E+11
1988,Brazil,-0.06,308333568571.49,2.12,5874167752.84,992.59,-0.34,317177371865.75,1.22,2.84716E+11
1988,India,9.63,296588994812.06,3.73,11346419153.42,334.26,9.30,293483314650.14,7.91,2.61298E+11
1988,Mexico,1.28,181611549975.80,0.54,981914645.57,1392.42,2.33,174365613985.31,-4.12,1.46759E+11
1988,South Africa,4.20,95176640968.04,4.62,4263086823.23,2763.77,4.43,92004394168.82,3.72,72705524371
1988,China,11.22,312353631207.82,,,720.34,,312230327072.02,,2.73414E+11
1988,World,4.66,19373475763787.90,3.53,638840332794.02,1469.54,4.44,19425972352599.10,2.53,1.58574E+13
1989,Germany,3.90,1398967436804.33,2.53,31631605144.51,4514.70,4.06,1414249683761.57,3.37,1.18781E+12
1989,France,4.34,1025211803413.53,2.88,29665454335.40,3795.90,4.05,1029131194735.76,3.75,8.70567E+11
1989,Italy,3.39,928661332204.35,2.03,17675486539.46,2566.11,3.21,924083371436.64,2.97,7.91188E+11
1989,Japan,4.86,3054914166263.18,0.94,27966353541.50,3352.01,4.96,3078857299419.27,4.73,2.48761E+12
1989,Canada,,565055743243.24,1.93,10747134688.64,7963.30,,547709459459.46,2.63,4.54245E+11
1989,Russian Federation,,506500173960.27,,,,,506588568405.99,,
1989,United States,3.67,5641580000000.00,5.87,321866558808.32,7890.29,3.68,5598381000000.00,2.09,4.71787E+12
1989,United Kingdom,2.58,926884816753.93,4.04,37456646813.31,3626.30,2.44,951887547447.64,1.88,8.00673E+11
1989,Brazil,3.16,347028139590.23,2.69,8761486965.81,993.91,12.95,365711839530.33,9.38,4.08503E+11
1989,India,5.95,296042354986.13,3.53,10589796924.59,342.70,5.82,292602874479.12,5.94,2.5988E+11
1989,Mexico,4.11,221400669713.59,0.52,1153375828.27,1426.67,4.35,213098448710.14,6.24,1.82645E+11
1989,South Africa,2.39,99030856824.75,4.36,4181886467.28,2585.62,2.34,95661399466.77,3.01,76171394061
1989,China,4.21,347768051311.74,2.45,11251332630.39,724.12,,347942587323.89,,3.01008E+11
1989,World,3.74,20171334961132.80,3.44,658523950439.01,1475.93,3.99,20170373974027.30,3.25,1.65143E+13
1990,Germany,5.26,1771671206875.68,2.52,39834666879.77,4421.36,5.35,1790871642658.27,5.54,1.504E+12
1990,France,2.92,1269179616913.62,2.81,35774430324.98,3846.63,2.89,1273598361643.18,2.89,1.07619E+12
1990,Italy,1.99,1181222653522.95,1.88,20734625578.57,2583.89,1.31,1166755021008.40,2.10,9.98905E+11
1990,Japan,4.89,3132817652848.04,0.94,28800451682.41,3552.86,4.88,3156842377885.60,4.76,2.54572E+12
1990,Canada,,593929550908.47,1.96,11414631846.89,7630.09,,574627185464.52,-0.54,4.76764E+11
1990,Russian Federation,-3.00,516814274021.96,,,5941.59,,515780725699.66,,
1990,United States,1.89,5963144000000.00,5.61,325129313986.03,7671.77,2.03,5902290000000.00,1.26,4.95836E+12
1990,United Kingdom,0.73,1093169389204.55,3.98,43545094840.13,3597.05,0.54,1116245413707.39,1.01,9.34616E+11
1990,Brazil,-4.35,390725626002.87,2.36,9236296955.41,940.97,-11.35,380339036380.18,-14.39,4.06437E+11
1990,India,5.53,320979026419.63,3.15,10537035450.05,350.08,5.38,316775332517.64,5.79,2.80609E+11
1990,Mexico,5.18,261253582805.95,0.43,1210872502.31,1473.39,5.62,252627674820.45,7.31,2.18763E+11
1990,South Africa,-0.32,115552349036.93,3.90,4364458203.86,2471.60,-0.59,111285000412.09,0.78,89600686548
1990,China,3.92,360857912565.97,2.45,9926349250.82,767.00,,361822783694.07,,3.07941E+11
1990,World,2.88,22739516285919.00,3.31,713011017715.11,1663.81,2.47,22618918072101.40,3.04,1.8554E+13
1991,Germany,5.11,1868945197407.19,2.00,37196729730.24,4302.89,4.55,1875827877430.76,3.66,1.57373E+12
1991,France,1.05,1269276828275.78,2.81,35869120915.21,4043.10,0.96,1272602023020.58,0.38,1.07076E+12
1991,Italy,1.54,1246220156079.29,1.86,21585706771.88,2645.67,1.36,1228446297799.28,2.02,1.05119E+12
1991,Japan,3.42,3584420077100.84,0.94,32785415754.19,3574.01,3.36,3609951843523.74,2.50,2.88342E+12
1991,Canada,,610328183643.19,1.90,11338503299.24,7517.33,,592228332024.09,-1.00,4.95586E+11
1991,Russian Federation,-5.05,517962962962.96,,,5870.23,-5.13,516545185185.19,,
1991,United States,-0.11,6158129000000.00,4.88,299372779114.59,7631.47,-0.17,6096750000000.00,0.34,5.12297E+12
1991,United Kingdom,-1.10,1142797178130.51,4.12,47045457327.37,3707.95,-1.04,1169938033509.70,-0.01,9.81577E+11
1991,Brazil,1.03,342609227209.65,1.96,6694665295.15,942.04,1.35,334931411093.57,6.71,5.37927E+11
1991,India,1.06,270105341879.23,2.91,8622473881.38,357.37,0.83,265995400854.86,1.52,2.34332E+11
1991,Mexico,4.21,313142768453.49,0.44,1459136040.92,1518.49,4.80,304534734461.97,6.39,2.69264E+11
1991,South Africa,-1.02,123943432441.24,3.22,3874415134.79,2518.12,-0.05,120735160974.90,2.19,98273100818
1991,China,9.26,383373318083.62,2.31,9802375366.07,736.85,,384152337595.82,,3.33506E+11
1991,World,1.45,23707017314929.80,3.01,698285243695.30,1649.65,1.27,23598583485968.80,1.38,1.97168E+13
1992,Germany,1.92,2131571696931.75,1.86,39502452271.27,4190.98,1.77,2137944338134.00,2.44,1.78877E+12
1992,France,1.60,1401465923172.24,2.69,37902269820.78,3954.00,1.73,1406931846344.49,2.00,1.1851E+12
1992,Italy,0.83,1320161644933.23,1.75,22177090390.33,2627.34,0.68,1298792413197.17,0.16,1.10754E+12
1992,Japan,0.85,3908809463463.86,0.95,35999123575.81,3644.19,1.01,3942653569288.27,0.04,3.11657E+12
1992,Canada,,592387689252.92,1.86,10788803123.94,7601.69,,573080168776.37,-0.53,4.7613E+11
1992,Russian Federation,-14.53,460290556900.73,4.43,,5356.51,-15.26,455789723970.94,,2.6385E+11
1992,United States,3.52,6520327000000.00,4.97,325033735954.80,7677.40,3.48,6435469000000.00,3.42,5.42443E+12
1992,United Kingdom,0.40,1179659529659.53,3.86,45592591817.98,3684.72,0.66,1221728957528.96,2.77,1.03089E+12
1992,Brazil,-0.54,328187944300.91,1.52,4993804466.93,935.75,-0.21,321997047142.55,0.56,3.60468E+11
1992,India,5.48,288208430383.96,2.70,8083231409.71,363.08,5.48,283799332762.87,4.93,2.50497E+11
1992,Mexico,3.54,363157598242.27,0.47,1824550066.24,1503.68,3.63,353562749232.61,4.43,3.12962E+11
1992,South Africa,-2.14,134545231416.55,2.82,3677406460.71,2290.67,-1.82,131599579242.64,1.97,1.08868E+11
1992,China,14.22,426915712715.86,2.45,12244267842.21,752.63,,427130409858.71,,3.74746E+11
1992,World,2.06,25393696182655.10,2.94,730298881501.34,1621.34,1.56,25276370234757.80,2.57,2.09802E+13
1993,Germany,-0.98,2071323790370.28,1.69,35030537589.37,4122.70,-1.15,2074905674908.32,-1.31,1.7273E+12
1993,France,-0.63,1322815612694.00,2.69,35775273292.89,4001.90,-0.54,1329198517489.00,-0.34,1.11872E+12
1993,Italy,-0.85,1064958075550.63,1.79,18242013901.28,2611.99,-0.62,1049906464870.19,-1.57,8.90867E+11
1993,Japan,-0.52,4454143876947.21,0.95,41353936221.87,3655.97,-0.49,4493789445474.64,-0.61,3.52627E+12
1993,Canada,,577170761956.44,1.82,10268822622.03,7770.55,,559372141694.44,2.61,4.65497E+11
1993,Russian Federation,-8.67,435083713850.84,4.18,7766720078.41,5059.86,-8.57,430624472095.38,-26.26,2.32195E+11
1993,United States,2.75,6858559000000.00,4.60,316719443747.42,7709.50,2.73,6733768000000.00,2.19,5.67639E+12
1993,United Kingdom,2.49,1061388722255.55,3.59,38113206791.46,3713.19,2.39,1098417308038.39,3.71,9.29718E+11
1993,Brazil,4.92,368295777770.08,1.93,7099899155.10,943.33,4.38,359329728432.15,3.14,3.91471E+11
1993,India,4.75,279296022987.92,2.82,8253542581.49,364.51,4.90,275444510280.80,5.92,2.43629E+11
1993,Mexico,1.94,500736065605.34,0.44,2122980337.78,1502.22,2.23,489113393888.82,4.01,4.34774E+11
1993,South Africa,1.23,147196639471.19,2.50,3254313378.67,2395.38,1.55,144534216360.13,5.64,1.10104E+11
1993,China,13.88,444731282435.52,1.93,12360225860.64,788.13,,443808937179.76,,3.86689E+11
1993,World,1.81,25822450379473.20,2.77,698672757536.54,1613.04,1.13,25707512299198.00,1.43,2.12318E+13
1994,Germany,2.39,2205074123177.05,1.55,34197705639.67,4088.80,1.71,2204518754971.68,2.38,1.83489E+12
1994,France,2.36,1393982750472.59,2.66,37288606059.73,3836.11,2.20,1398516068052.93,2.21,1.17902E+12
1994,Italy,2.15,1099216688280.50,1.71,18062459081.75,2578.47,1.99,1082154302353.51,1.69,9.18339E+11
1994,Japan,0.99,4998797547740.97,0.92,45285594082.66,3844.29,0.93,5040359933390.60,-2.24,3.86591E+12
1994,Canada,,578139279437.61,1.70,9577377639.79,7957.25,,559172524897.48,4.24,4.6574E+11
1994,Russian Federation,-12.57,395077301248.46,4.52,13547871733.42,4426.67,-12.05,393237301248.46,-20.58,1.98353E+11
1994,United States,4.03,7287236000000.00,4.22,308084000000.00,7757.83,3.88,7170251000000.00,4.54,6.06047E+12
1994,United Kingdom,3.85,1140489745944.29,3.38,38569013504.86,3732.52,4.18,1199798307315.58,5.98,1.02285E+12
1994,Brazil,5.85,525369851353.74,2.02,10591499118.38,976.98,4.33,516607762515.29,8.34,4.88964E+11
1994,India,6.66,327275583539.56,2.66,8880551226.03,371.23,6.78,323108717813.73,6.44,2.87216E+11
1994,Mexico,4.94,527813238126.28,0.52,2635284078.79,1509.94,4.85,515157050754.05,5.30,4.57344E+11
1994,South Africa,3.20,153512625915.29,2.56,3478582291.31,2420.08,3.44,151090918131.13,2.58,1.14974E+11
1994,China,13.04,564324670008.24,1.69,9867120066.27,816.16,,563288670008.24,,4.91089E+11
1994,World,3.30,27872421364037.90,2.58,707807522424.37,1599.01,2.69,27787893893644.70,3.87,2.28718E+13
1995,Germany,1.54,2585792275146.72,1.50,38742699102.55,4119.69,1.31,2582251944861.47,2.22,2.15938E+12
1995,France,2.11,1601094756209.75,2.49,40124024138.37,3981.35,2.12,1606455513208.04,2.19,1.35876E+12
1995,Italy,2.89,1174662070605.02,1.47,17185853003.90,2799.38,3.23,1160406751456.08,3.00,9.88122E+11
1995,Japan,2.63,5545563663889.70,0.92,49961673236.97,3934.96,2.65,5592682724570.38,3.44,4.32592E+12
1995,Canada,,604031623433.40,1.55,9176903908.37,7979.90,,585086709414.17,3.75,4.87209E+11
1995,Russian Federation,-4.14,395537185734.85,3.78,12741629470.41,4290.69,-4.50,392165585723.78,-9.05,1.92698E+11
1995,United States,2.68,7639749000000.00,3.86,295853097724.66,7763.76,2.74,7574691000000.00,3.58,6.41786E+12
1995,United Kingdom,2.53,1346422597443.59,2.85,38294283079.83,3728.96,2.31,1304551338172.64,1.39,1.10281E+12
1995,Brazil,4.22,769333330368.99,1.86,14318919608.09,994.29,6.75,757886586968.48,5.89,6.97435E+11
1995,India,7.57,360281952716.80,2.58,9754464629.89,385.09,7.74,356252331233.45,7.12,3.15978E+11
1995,Mexico,-6.29,360073909243.86,0.45,1562615372.39,1437.65,-7.58,346715405645.39,-14.88,2.78461E+11
1995,South Africa,3.10,171735223677.32,2.12,3292446561.84,2498.89,2.98,168860475255.71,5.10,1.28555E+11
1995,China,10.95,734547898224.10,1.69,12385129474.99,866.83,,722773475241.60,,6.30927E+11
1995,World,3.09,31043806328491.80,2.39,726591178564.08,1616.15,2.62,30892565297088.40,3.04,2.54882E+13
1996,Germany,0.81,2497244606186.64,1.47,36701189772.00,4246.55,0.96,2497603327268.00,0.71,2.08459E+12
1996,France,1.41,1605675086549.56,2.41,38977734095.78,4191.92,1.93,1619352481087.32,1.80,1.3714E+12
1996,Italy,1.27,1312426527795.21,1.59,20793128832.20,2796.15,1.52,1299725812523.53,2.08,1.10908E+12
1996,Japan,3.13,4923391533851.63,0.91,44047104680.13,4008.48,3.51,4982754040068.36,2.61,3.85943E+12
1996,Canada,,628546387972.13,1.40,8615884471.24,8053.45,,609656032269.89,1.43,5.04148E+11
1996,Russian Federation,-3.76,391724890744.50,3.76,15826340651.81,4252.61,-4.28,386290390744.50,19.66,2.33444E+11
1996,United States,3.77,8073122000000.00,3.55,287960668678.94,7844.47,3.79,8045907000000.00,4.34,6.82116E+12
1996,United Kingdom,2.43,1421514820592.82,2.72,38566134645.39,3879.82,2.48,1373976731669.27,3.88,1.16448E+12
1996,Brazil,2.21,850426433004.08,1.65,14073226544.62,1030.67,0.98,827516902795.74,1.15,7.62522E+11
1996,India,7.55,392897054348.07,2.47,9904672736.30,389.43,7.74,389212066967.51,7.30,3.45985E+11
1996,Mexico,6.77,410975595310.16,0.48,1882873102.66,1445.93,7.17,396991780930.07,8.92,3.22062E+11
1996,South Africa,4.30,163236785802.34,1.76,2591787130.61,2504.90,4.07,160124651268.81,4.01,1.21668E+11
1996,China,9.92,863746717507.40,1.65,14275400819.97,881.65,10.03,851309717507.40,12.58,7.41203E+11
1996,World,3.61,31736284484872.90,2.32,724514779832.67,1633.31,3.53,31581900660425.10,2.47,2.61516E+13
1997,Germany,1.79,2211989623279.95,1.41,31267710403.06,4203.36,1.58,2207765621475.30,1.05,1.84017E+12
1997,France,2.34,1452884917959.09,2.38,34697904099.18,4049.23,2.70,1470552933243.43,2.91,1.24785E+12
1997,Italy,1.83,1241879604365.62,1.63,20156102258.36,2834.40,2.36,1236195088676.67,2.46,1.05549E+12
1997,Japan,0.98,4492448605638.94,0.92,40634840607.98,4041.17,1.09,4551410891232.32,0.17,3.50987E+12
1997,Canada,,654986999855.55,1.25,7945140182.87,8056.24,,634690885454.28,4.79,5.26606E+11
1997,Russian Federation,1.40,404928954191.88,4.04,17577353180.65,4069.69,0.70,396237354191.88,3.89,2.55538E+11
1997,United States,4.38,8577554457000.00,3.41,293167825790.97,7828.58,4.27,8589268000000.00,5.49,7.31142E+12
1997,United Kingdom,4.91,1559569417157.83,2.56,39889947448.98,3760.71,5.05,1536474662737.39,7.29,1.32126E+12
1997,Brazil,3.39,883206452795.12,1.58,13934266551.64,1066.19,2.87,855025884218.18,1.47,7.86954E+11
1997,India,4.05,415867753863.87,2.65,11464883389.83,397.38,4.13,412314039081.44,4.22,3.65323E+11
1997,Mexico,6.85,500413483109.18,0.46,2184061042.17,1498.00,7.74,487611244932.75,10.34,4.03871E+11
1997,South Africa,2.60,168976663845.49,1.58,2414137709.53,2527.94,2.60,165755309678.82,3.00,1.26584E+11
1997,China,9.24,961603952954.23,1.63,15699586768.58,871.76,9.50,950600282950.13,9.41,8.25919E+11
1997,World,3.87,31619825562446.70,2.32,724578685110.89,1626.41,3.83,31513749224093.40,3.96,2.61642E+13
1998,Germany,2.01,2238990774702.68,1.39,31200768078.00,4177.29,1.62,2226180949205.29,2.13,1.85547E+12
1998,France,3.59,1503108739159.44,2.23,33633561283.23,4151.63,3.68,1522697353791.42,4.31,1.29597E+12
1998,Italy,1.81,1270052525928.40,1.64,20825125351.86,2912.95,1.71,1263071038251.37,2.27,1.07802E+12
1998,Japan,-1.27,4098362709531.24,0.94,37849012642.76,3955.63,-1.34,4148975633530.50,-1.70,3.18021E+12
1998,Canada,2.80,634000000000.00,1.26,7748607984.04,7948.40,2.52,612674755645.43,2.28,5.07908E+11
1998,Russian Federation,-5.30,270955486862.44,2.73,7955730400.99,3981.50,-7.23,259165786862.44,-6.46,1.7365E+11
1998,United States,4.48,9062818202000.00,3.20,290996055088.38,7803.70,4.40,9135464000000.00,5.90,7.80302E+12
1998,United Kingdom,3.15,1653391851606.49,2.50,41222125832.62,3787.11,3.68,1660687540576.35,6.53,1.44199E+12
1998,Brazil,0.34,863711007325.49,1.66,14357357046.84,1075.20,-0.92,825524306965.99,-2.59,7.602E+11
1998,India,6.18,421351477504.74,2.73,11920610818.38,399.50,6.19,417792938008.47,7.90,3.73183E+11
1998,Mexico,5.16,526502129378.28,0.45,2263223453.49,1516.61,5.16,513008373905.43,5.65,4.27033E+11
1998,South Africa,0.50,152982541794.04,1.38,1905656008.74,2471.48,0.33,149819182352.62,0.89,1.14054E+11
1998,China,7.85,1029043097558.91,1.66,17031780199.69,869.36,7.41,1012399391552.22,8.23,8.78377E+11
1998,World,2.79,31539696077319.90,2.27,706829056984.88,1611.34,2.86,31492998229872.30,1.99,2.62933E+13
1999,Germany,1.89,2194945278872.59,1.40,30690158425.58,4079.93,1.76,2179762227596.14,1.80,1.81465E+12
1999,France,3.42,1493151737698.46,2.18,32672714284.85,4123.53,4.13,1522931663205.02,4.18,1.29621E+12
