"country","year","spendings"
Luxemburg,2011,232
Luxemburg,2012,214
Luxemburg,2013,234
Luxemburg,2014,253
Luxemburg,2015,249
Luxemburg,2016,236
Luxemburg,2017,325
Luxemburg,2018,355
Luxemburg,2019,386
Luxemburg,2020,426
Luxemburg,2021,462
Montenegro,1990,
Montenegro,1995,
Montenegro,2000,
Montenegro,2005,
Montenegro,2007,
Montenegro,2008,
Montenegro,2009,
Montenegro,2010,
Montenegro,2011,
Montenegro,2012,
Montenegro,2013,65
Montenegro,2014,69
Montenegro,2015,57
Montenegro,2016,62
Montenegro,2017,65
Montenegro,2018,75
Montenegro,2019,74
Montenegro,2020,83
Montenegro,2021,92
Niederlande,1990,7421
Niederlande,1995,8012
Niederlande,2000,5972
Niederlande,2005,9567
Niederlande,2007,11480
Niederlande,2008,12434
Niederlande,2009,12131
Niederlande,2010,11220
Niederlande,2011,11339
Niederlande,2012,10365
Niederlande,2013,10226
Niederlande,2014,10332
Niederlande,2015,8668
Niederlande,2016,9108
Niederlande,2017,9622
Niederlande,2018,11162
Niederlande,2019,12090
Niederlande,2020,12824
Niederlande,2021,14690
Nordmazedonien,1990,
Nordmazedonien,1995,
Nordmazedonien,2000,
Nordmazedonien,2005,
Nordmazedonien,2007,
Nordmazedonien,2008,
Nordmazedonien,2009,
Nordmazedonien,2010,
Nordmazedonien,2011,
Nordmazedonien,2012,
Nordmazedonien,2013,127
Nordmazedonien,2014,124
Nordmazedonien,2015,105
Nordmazedonien,2016,104
Nordmazedonien,2017,101
Nordmazedonien,2018,120
Nordmazedonien,2019,146
Nordmazedonien,2020,154
Nordmazedonien,2021,209
Norwegen,1990,3395
Norwegen,1995,3508
Norwegen,2000,2922
Norwegen,2005,4885
Norwegen,2007,5875
Norwegen,2008,6371
Norwegen,2009,6196
Norwegen,2010,6499
Norwegen,2011,7232
Norwegen,2012,7143
Norwegen,2013,7839
Norwegen,2014,7722
Norwegen,2015,6142
Norwegen,2016,6431
Norwegen,2017,6850
Norwegen,2018,7544
Norwegen,2019,7536
Norwegen,2020,7228
Norwegen,2021,8234
Polen,1990,
Polen,1995,
Polen,2000,3087
Polen,2005,5536
Polen,2007,7833
Polen,2008,8165
Polen,2009,7475
Polen,2010,8493
Polen,2011,9106
Polen,2012,8710
Polen,2013,9007
Polen,2014,10104
Polen,2015,10596
Polen,2016,9405
Polen,2017,9938
Polen,2018,11857
Polen,2019,11826
Polen,2020,13363
Polen,2021,15401
Portugal,1990,1875
Portugal,1995,2670
Portugal,2000,2204
Portugal,2005,3143
Portugal,2007,3309
Portugal,2008,3714
Portugal,2009,3740
Portugal,2010,3540
Portugal,2011,3652
Portugal,2012,3040
Portugal,2013,3262
Portugal,2014,3003
Portugal,2015,2644
Portugal,2016,2615
Portugal,2017,2732
Portugal,2018,3392
Portugal,2019,3298
Portugal,2020,3273
Portugal,2021,3920
Rumänien,1990,
Rumänien,1995,
Rumänien,2000,
Rumänien,2005,1976
Rumänien,2007,2608
Rumänien,2008,3000
Rumänien,2009,2225
Rumänien,2010,2086
Rumänien,2011,2380
Rumänien,2012,2100
Rumänien,2013,2452
Rumänien,2014,2691
Rumänien,2015,2581
Rumänien,2016,2645
Rumänien,2017,3643
Rumänien,2018,4359
Rumänien,2019,4608
Rumänien,2020,5050
Rumänien,2021,5348
Slowakei,1990,
Slowakei,1995,
Slowakei,2000,
Slowakei,2005,823
Slowakei,2007,1139
Slowakei,2008,1411
Slowakei,2009,1350
Slowakei,2010,1138
Slowakei,2011,1065
Slowakei,2012,1020
Slowakei,2013,968
Slowakei,2014,997
Slowakei,2015,986
Slowakei,2016,1003
Slowakei,2017,1053
Slowakei,2018,1297
Slowakei,2019,1802
Slowakei,2020,2049
Slowakei,2021,2003
Slowenien,1990,
Slowenien,1995,
Slowenien,2000,
Slowenien,2005,514
Slowenien,2007,693
Slowenien,2008,829
Slowenien,2009,799
Slowenien,2010,772
Slowenien,2011,666
Slowenien,2012,543
Slowenien,2013,507
Slowenien,2014,486
Slowenien,2015,401
Slowenien,2016,449
Slowenien,2017,476
Slowenien,2018,546
Slowenien,2019,573
Slowenien,2020,568
Slowenien,2021,745
Spanien,1990,9053
Spanien,1995,8651
Spanien,2000,7001
Spanien,2005,13054
Spanien,2007,16724
Spanien,2008,18685
Spanien,2009,16943
Spanien,2010,14743
Spanien,2011,13984
Spanien,2012,13912
Spanien,2013,12607
Spanien,2014,12614
Spanien,2015,11090
Spanien,2016,9971
Spanien,2017,11864
Spanien,2018,13187
Spanien,2019,12629
Spanien,2020,12828
Spanien,2021,14581
Tschechien,1990,
Tschechien,1995,
Tschechien,2000,1148
Tschechien,2005,2211
Tschechien,2007,2527
Tschechien,2008,3090
Tschechien,2009,3129
Tschechien,2010,2660
Tschechien,2011,2437
Tschechien,2012,2185
Tschechien,2013,2148
Tschechien,2014,1975
Tschechien,2015,1921
Tschechien,2016,1866
Tschechien,2017,2259
Tschechien,2018,2750
Tschechien,2019,2910
Tschechien,2020,3199
Tschechien,2021,3972
Türkei,1990,5315
Türkei,1995,6606
Türkei,2000,9994
Türkei,2005,10301
Türkei,2007,11814
Türkei,2008,14410
Türkei,2009,12647
Türkei,2010,14134
Türkei,2011,13616
Türkei,2012,13895
Türkei,2013,14427
Türkei,2014,13583
Türkei,2015,11957
Türkei,2016,12649
Türkei,2017,12972
Türkei,2018,14145
Türkei,2019,14098
Türkei,2020,13396
Türkei,2021,13014
USA,1990,306170
USA,1995,278856
USA,2000,301697
USA,2005,503353
USA,2007,586106
USA,2008,729544
USA,2009,757466
USA,2010,720423
USA,2011,740744
USA,2012,712947
USA,2013,680856
USA,2014,653942
USA,2015,641253
USA,2016,656059
USA,2017,642936
USA,2018,672255
USA,2019,730149
USA,2020,784952
USA,2021,811140
Ungarn,1990,
Ungarn,1995,
Ungarn,2000,804
Ungarn,2005,1596
Ungarn,2007,1776
Ungarn,2008,1899
Ungarn,2009,1476
Ungarn,2010,1351
Ungarn,2011,1472
Ungarn,2012,1322
Ungarn,2013,1280
Ungarn,2014,1210
Ungarn,2015,1132
Ungarn,2016,1289
Ungarn,2017,1468
Ungarn,2018,1791
Ungarn,2019,2051
Ungarn,2020,2767
Ungarn,2021,3140
Großbrittanien,1990,39590
Großbrittanien,1995,33836
Großbrittanien,2000,35608
Großbrittanien,2005,55894
Großbrittanien,2007,
Großbrittanien,2008,
Großbrittanien,2009,
Großbrittanien,2010,60329
Großbrittanien,2011,62852
Großbrittanien,2012,58016
Großbrittanien,2013,62258
Großbrittanien,2014,65658
Großbrittanien,2015,59492
Großbrittanien,2016,56154
Großbrittanien,2017,55672
Großbrittanien,2018,60308
Großbrittanien,2019,59365
Großbrittanien,2020,63500
Großbrittanien,2021,72706
Russland,2006,34500
Russland,2007,43500
Russland,2008,56200
Russland,2009,51500
Russland,2010,58700
Russland,2011,70200
Russland,2012,81500
Russland,2013,88400
Russland,2014,84700
Russland,2015,66400
Russland,2016,69200
Russland,2017,66900
Russland,2018,61600
Russland,2019,65200
Russland,2020,61700
Russland,2021,65900
